Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY LargeMidcap 250,16-12-2022,10343.25,10389.25,10255.55,10269.75,-119.05,-1.15,1727474907,43725.6,24.37,3.83,1.25
NIFTY LargeMidcap 250,19-12-2022,10285,10344.05,10237.65,10338.45,68.7,.67,1185347048,29379.35,24.54,3.86,1.24
NIFTY LargeMidcap 250,20-12-2022,10310.5,10328.4,10226.4,10320.25,-18.2,-.18,1342901154,30490.06,24.49,3.85,1.24
NIFTY LargeMidcap 250,21-12-2022,10352.6,10381.2,10161,10181.1,-139.15,-1.35,1622594121,37381.84,24.16,3.8,1.25
NIFTY LargeMidcap 250,22-12-2022,10227.1,10253,10059.7,10110.75,-70.35,-.69,1629137273,35165.29,24,3.77,1.25
NIFTY LargeMidcap 250,23-12-2022,10021.85,10049.55,9808.55,9826.35,-284.4,-2.81,1812945566,38965.45,23.32,3.66,1.29
NIFTY LargeMidcap 250,26-12-2022,9833.55,10043.85,9772.7,10014.85,188.5,1.92,1806242292,30773.94,23.77,3.73,1.26
NIFTY LargeMidcap 250,27-12-2022,10069.5,10111.85,10009.2,10097.05,82.2,.82,1607042189,28550.4,23.96,3.77,1.25
NIFTY LargeMidcap 250,28-12-2022,10085.5,10137.15,10055.45,10115.25,18.2,.18,1466572416,29152.76,24.01,3.77,1.25
NIFTY LargeMidcap 250,29-12-2022,10076.95,10160.65,10025.3,10142.8,27.55,.27,1422290864,36080.99,24.07,3.78,1.25
NIFTY LargeMidcap 250,30-12-2022,10195.7,10217.65,10126.7,10143.55,0.75,.01,1348231247,29439.24,24.28,3.81,1.23
NIFTY LargeMidcap 250,02-01-2023,10168.35,10208.2,10134.7,10200.7,57.15,.56,1473070581,25842.93,24.41,3.83,1.22
NIFTY LargeMidcap 250,03-01-2023,10205.15,10234.8,10187.7,10222.7,22.0,.22,1365422102,28547.26,24.47,3.84,1.23
NIFTY LargeMidcap 250,04-01-2023,10230.65,10240.3,10105.25,10120.5,-102.2,-1,1481677718,32864.92,24.22,3.8,1.24
NIFTY LargeMidcap 250,05-01-2023,10154.5,10163.6,10065.6,10133.7,13.2,.13,1190110231,37343.66,24.25,3.8,1.24
NIFTY LargeMidcap 250,06-01-2023,10145.35,10149.05,10025.95,10060.85,-72.85,-.72,1142458184,31711.46,24.08,3.78,1.25
NIFTY LargeMidcap 250,09-01-2023,10123.7,10176.45,10109.2,10167.8,106.95,1.06,1168807239,32987.1,24.33,3.82,1.24
NIFTY LargeMidcap 250,10-01-2023,10181.3,10181.45,10053.35,10100.35,-67.45,-.66,1181653498,34280.1,24.17,3.79,1.24
NIFTY LargeMidcap 250,11-01-2023,10115.4,10130.65,10057.45,10077.25,-23.1,-.23,1137538396,33877.89,24.11,3.78,1.25
NIFTY LargeMidcap 250,12-01-2023,10100.45,10104.1,10013.65,10058.7,-18.55,-.18,1072467426,34659.61,24.06,3.77,1.25
NIFTY LargeMidcap 250,13-01-2023,10073.4,10098.1,10010.8,10083.2,24.5,.24,1183653240,36069.89,24.09,3.78,1.25
NIFTY LargeMidcap 250,16-01-2023,10113.35,10133.85,10040.7,10055.9,-27.3,-.27,1154492021,31907.04,24.06,3.77,1.29
NIFTY LargeMidcap 250,17-01-2023,10072.5,10101.6,10026.65,10092.3,36.4,.36,1121918275,33016.74,24.1,3.79,1.29
NIFTY LargeMidcap 250,18-01-2023,10108.95,10144.9,10081.3,10138.95,46.65,.46,1058905718,34800.34,24.21,3.8,1.28
NIFTY LargeMidcap 250,19-01-2023,10114.15,10134.85,10088.65,10116.75,-22.2,-.22,1041487198,32085.87,24.13,3.8,1.29
NIFTY LargeMidcap 250,20-01-2023,10120.75,10126.95,10052.3,10060.2,-56.55,-.56,1032107399,35610.38,23.98,3.77,1.29
NIFTY LargeMidcap 250,23-01-2023,10091.65,10099.65,10058.25,10091.75,31.55,.31,1338128931,32437.22,24.04,3.79,1.28
NIFTY LargeMidcap 250,24-01-2023,10117.65,10123,10058.95,10073.0,-18.75,-.19,1028414788,34595.35,23.85,3.78,1.28
NIFTY LargeMidcap 250,25-01-2023,10058.75,10060.45,9914.65,9935.2,-137.8,-1.37,1415745192,39765.72,23.54,3.73,1.31
NIFTY LargeMidcap 250,27-01-2023,9936.35,9941.55,9692.75,9768.65,-166.55,-1.68,1861273274,65260.45,23.04,3.66,1.33
NIFTY LargeMidcap 250,30-01-2023,9736.75,9826.9,9655.05,9754.95,-13.7,-.14,1706612010,60771.49,23,3.66,1.34
NIFTY LargeMidcap 250,31-01-2023,9787.3,9854.25,9715.85,9837.8,82.85,.85,1591248864,57106.82,23.24,3.69,1.33
NIFTY LargeMidcap 250,01-02-2023,9915.7,9981.25,9620.95,9771.9,-65.9,-.67,1925334734,66673.39,23.08,3.67,1.34
NIFTY LargeMidcap 250,02-02-2023,9723.2,9811.05,9685.35,9773.5,1.6,.02,1555005986,57789.88,22.97,3.67,1.34
NIFTY LargeMidcap 250,03-02-2023,9809.75,9831.35,9682.25,9822.2,48.7,.5,1511601329,52503.39,23.04,3.68,1.34
