Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY100 Enhanced ESG,11-01-2023,-,-,-,3431.71,-10.0,-.29,354467478,22078.2,26.72,5.35,1.3
NIFTY100 Enhanced ESG,12-01-2023,-,-,-,3434.67,2.96,.09,358601079,24093.57,26.74,5.35,1.29
NIFTY100 Enhanced ESG,13-01-2023,-,-,-,3456.62,21.95,.64,354898159,23879.93,26.81,5.39,1.29
NIFTY100 Enhanced ESG,16-01-2023,-,-,-,3459.8,3.18,.09,274823917,20084.03,26.76,5.39,1.41
NIFTY100 Enhanced ESG,17-01-2023,-,-,-,3480.21,20.4,.59,362749429,21349.98,26.92,5.42,1.4
NIFTY100 Enhanced ESG,18-01-2023,-,-,-,3490.38,10.17,.29,403208303,22557.99,27,5.43,1.4
NIFTY100 Enhanced ESG,19-01-2023,-,-,-,3474.28,-16.09,-.46,317561393,19639.62,26.82,5.41,1.42
NIFTY100 Enhanced ESG,20-01-2023,-,-,-,3453.31,-20.98,-.6,335096179,23172.58,26.66,5.37,1.4
NIFTY100 Enhanced ESG,23-01-2023,-,-,-,3476.08,22.77,.66,309159442,20542.08,26.84,5.41,1.39
NIFTY100 Enhanced ESG,24-01-2023,-,-,-,3480.64,4.56,.13,350095686,23100.94,26.78,5.42,1.39
NIFTY100 Enhanced ESG,25-01-2023,-,-,-,3430.23,-50.41,-1.45,597421183,25046.83,26.52,5.34,1.41
NIFTY100 Enhanced ESG,27-01-2023,-,-,-,3364.58,-65.65,-1.91,731910171,40854.96,25.84,5.24,1.44
NIFTY100 Enhanced ESG,30-01-2023,-,-,-,3354.79,-9.79,-.29,563715237,38024.42,25.72,5.22,1.45
NIFTY100 Enhanced ESG,31-01-2023,-,-,-,3352.6,-2.2,-.07,561330464,36558.38,25.86,5.22,1.45
NIFTY100 Enhanced ESG,01-02-2023,-,-,-,3334.65,-17.95,-.54,633234242,40125.4,25.72,5.19,1.46
NIFTY100 Enhanced ESG,02-02-2023,-,-,-,3332.94,-1.71,-.05,463659173,30471.9,25.8,5.19,1.46
NIFTY100 Enhanced ESG,03-02-2023,-,-,-,3357.58,24.64,.74,441743305,29603.52,25.96,5.22,1.45
NIFTY100 Enhanced ESG,06-02-2023,-,-,-,3347.47,-10.11,-.3,363978142,21203.09,25.82,5.21,1.45
NIFTY100 Enhanced ESG,07-02-2023,-,-,-,3338.74,-8.73,-.26,481884503,25119.56,25.65,5.2,1.45
NIFTY100 Enhanced ESG,08-02-2023,-,-,-,3366.77,28.03,.84,627544641,26181.19,26.33,5.24,1.47
NIFTY100 Enhanced ESG,09-02-2023,-,-,-,3370.15,3.38,.1,576832166,25001.22,26.31,5.24,1.45
NIFTY100 Enhanced ESG,10-02-2023,-,-,-,3363.77,-6.38,-.19,499528197,21185.4,26.25,5.23,1.45
NIFTY100 Enhanced ESG,13-02-2023,-,-,-,3333.66,-30.12,-.9,343140157,18556.78,26.11,5.19,1.46
NIFTY100 Enhanced ESG,14-02-2023,-,-,-,3342.77,9.11,.27,336245460,19777.85,26.87,5.2,1.46
NIFTY100 Enhanced ESG,15-02-2023,-,-,-,3367.12,24.35,.73,288352383,23085.45,27.07,5.24,1.45
NIFTY100 Enhanced ESG,16-02-2023,-,-,-,3376.9,9.78,.29,316270614,24276.77,27.09,5.25,1.42
NIFTY100 Enhanced ESG,17-02-2023,-,-,-,3352.29,-24.61,-.73,287612618,18888.62,26.9,5.21,1.47
NIFTY100 Enhanced ESG,20-02-2023,-,-,-,3344.62,-7.66,-.23,348380677,17535.32,26.83,5.2,1.47
NIFTY100 Enhanced ESG,21-02-2023,-,-,-,3332.91,-11.71,-.35,324083881,17971.5,26.73,5.18,1.44
NIFTY100 Enhanced ESG,22-02-2023,-,-,-,3287.41,-45.5,-1.37,304113364,17986.94,26.36,5.11,1.47
NIFTY100 Enhanced ESG,23-02-2023,-,-,-,3276.02,-11.39,-.35,402395651,20623.62,26.27,5.09,1.48
NIFTY100 Enhanced ESG,24-02-2023,-,-,-,3269.32,-6.71,-.2,335723751,17521.39,26.22,5.08,1.48
NIFTY100 Enhanced ESG,27-02-2023,-,-,-,3242.03,-27.29,-.83,326832625,18057.19,26,5.04,1.5
NIFTY100 Enhanced ESG,28-02-2023,-,-,-,3233.94,-8.08,-.25,524382414,32973.85,25.93,5.03,1.5
NIFTY100 Enhanced ESG,01-03-2023,-,-,-,3264.48,30.54,.94,337738109,19014.63,26.18,5.08,1.49
NIFTY100 Enhanced ESG,02-03-2023,-,-,-,3242.91,-21.57,-.66,353108809,20095.22,26,5.04,1.5
NIFTY100 Enhanced ESG,03-03-2023,-,-,-,3272.01,29.1,.9,421900684,21841.1,26.24,5.09,1.48
NIFTY100 Enhanced ESG,06-03-2023,-,-,-,3295.32,23.31,.71,420564458,22677.5,26.43,5.12,1.47
NIFTY100 Enhanced ESG,08-03-2023,-,-,-,3299.32,4.0,.12,329939299,21955.97,26.46,5.13,1.48
NIFTY100 Enhanced ESG,09-03-2023,-,-,-,3271.08,-28.24,-.86,328447014,21001.43,26.23,5.09,1.49
NIFTY100 Enhanced ESG,10-03-2023,-,-,-,3251.97,-19.11,-.58,314483838,20067.91,26.08,5.06,1.5
NIFTY100 Enhanced ESG,13-03-2023,-,-,-,3211.01,-60.06,-1.84,347516537,23784.53,25.75,4.99,1.52
NIFTY100 Enhanced ESG,14-03-2023,-,-,-,3186.65,-24.36,-.76,398337148,27116.67,25.55,4.96,1.53
NIFTY100 Enhanced ESG,15-03-2023,-,-,-,3179.4,-7.25,-.23,326560460,23337.56,25.5,4.94,1.53
NIFTY100 Enhanced ESG,16-03-2023,-,-,-,3188.62,9.22,.29,898471154,29114.39,25.57,4.96,1.53
NIFTY100 Enhanced ESG,17-03-2023,-,-,-,3210.52,21.91,.69,618464706,33381.85,25.75,4.99,1.52
NIFTY100 Enhanced ESG,20-03-2023,-,-,-,3185.67,-24.86,-.77,421206250,25468.01,25.55,4.95,1.53
NIFTY100 Enhanced ESG,21-03-2023,-,-,-,3200.37,14.7,.46,361494928,24930.86,25.66,4.98,1.53
NIFTY100 Enhanced ESG,22-03-2023,-,-,-,3216.05,15.68,.49,324701836,19404.05,25.78,5,1.52
NIFTY100 Enhanced ESG,23-03-2023,-,-,-,3207.8,-8.25,-.26,315650582,22080.07,25.72,4.99,1.52
NIFTY100 Enhanced ESG,24-03-2023,-,-,-,3187.23,-20.57,-.64,365737420,22813.7,25.55,4.96,1.53
NIFTY100 Enhanced ESG,27-03-2023,-,-,-,3181.87,-5.36,-.17,330984038,21164.29,25.51,4.95,1.54
NIFTY100 Enhanced ESG,28-03-2023,-,-,-,3160.49,-21.39,-.67,350720964,22138.99,25.34,4.91,1.55
NIFTY100 Enhanced ESG,29-03-2023,-,-,-,3186.58,26.09,.83,446753494,29445.8,25.55,4.95,1.54
NIFTY100 Enhanced ESG,31-03-2023,-,-,-,3230.78,44.2,1.39,395260435,27868.7,25.89,4.68,1.5
NIFTY100 Enhanced ESG,03-04-2023,-,-,-,3245.19,14.41,.45,307593695,22488.12,26.01,4.7,1.49
NIFTY100 Enhanced ESG,05-04-2023,-,-,-,3267.3,22.11,.68,321480724,25886.38,26.19,4.73,1.45
NIFTY100 Enhanced ESG,06-04-2023,-,-,-,3274.38,7.08,.22,314799314,26241.74,26.24,4.66,1.44
NIFTY100 Enhanced ESG,10-04-2023,-,-,-,3287.42,13.05,.4,354210744,23298.44,26.35,4.67,1.44
