Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY100 Enhanced ESG,05-02-2024,-,-,-,4274.94,-16.11,-.38,860161335,48390.31,24.82,4.4,1.07
Nifty 50 Arbitrage,05-02-2024,-,-,-,2277.71,4.83,.21,-,-,-,-,-
Nifty 8-13 yr G-Sec,05-02-2024,2560,2560,2553,2553.89,-5.63,-.22,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,05-02-2024,2777.03,2777.03,2771.5,2771.5,-4.99,-.18,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,05-02-2024,2827.61,2827.61,2819.69,2819.69,-7.36,-.26,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,05-02-2024,3120.43,3121.77,3117.24,3119.27,-0.55,-.02,-,-,-,-,-
Nifty Composite G-sec Index,05-02-2024,2649.7,2649.7,2644.64,2644.64,-4.55,-.17,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,05-02-2024,2267.38,2267.38,2260.87,2261.25,-5.7,-.25,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),05-02-2024,877.92,877.92,875.32,875.47,-2.46,-.28,-,-,-,-,-
Nifty 1D Rate Index,05-02-2024,-,-,-,2237.87,1.16,.05,-,-,-,-,-
Nifty50 USD,05-02-2024,-,-,-,9082.05,-49.37,-.54,-,-,-,-,-
