INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BAJAJFINSV,27-May-2021,0,XX,9630.25,9724.95,9541.70,9604.85,9604.85,56,676.61,10750,2875,30-Mar-2021
FUTSTK,BAJAJFINSV,24-Jun-2021,0,XX,9617,9725,9617,9725,9586.35,5,60.24,625,625,30-Mar-2021
FUTSTK,BAJFINANCE,29-Apr-2021,0,XX,5259.70,5299,5182.85,5234.90,5234.90,6124,80267.99,3510750,89750,30-Mar-2021
FUTSTK,BAJFINANCE,27-May-2021,0,XX,5283.50,5307.85,5200,5243.10,5243.10,166,2183.59,64000,5000,30-Mar-2021
FUTSTK,BAJFINANCE,24-Jun-2021,0,XX,5231.20,5231.20,5231.20,5231.20,5239.50,1,13.07,750,250,30-Mar-2021
FUTSTK,BALKRISIND,29-Apr-2021,0,XX,1664.55,1679.40,1656,1668.40,1668.40,765,5100.47,1639600,-60800,30-Mar-2021
FUTSTK,BALKRISIND,27-May-2021,0,XX,1672.95,1673.35,1662.90,1670.55,1670.55,23,153.76,18000,-4800,30-Mar-2021
FUTSTK,BALKRISIND,24-Jun-2021,0,XX,0,0,0,1621.30,1672.75,0,0,0,0,30-Mar-2021
FUTSTK,BANDHANBNK,29-Apr-2021,0,XX,354,354.55,338,339.05,339.05,4152,25654.64,16182000,1324800,30-Mar-2021
FUTSTK,BANDHANBNK,27-May-2021,0,XX,355,355,339.70,340.55,340.55,58,360.88,415800,43200,30-Mar-2021
FUTSTK,BANDHANBNK,24-Jun-2021,0,XX,343,345,343,345,345,2,12.38,3600,3600,30-Mar-2021
FUTSTK,BANKBARODA,29-Apr-2021,0,XX,71.85,74.45,71.20,72.95,72.95,5453,46454.41,118357200,9090900,30-Mar-2021
FUTSTK,BANKBARODA,27-May-2021,0,XX,72.15,74.55,71.60,73.25,73.25,224,1918.47,2082600,327600,30-Mar-2021
FUTSTK,BANKBARODA,24-Jun-2021,0,XX,72.25,72.30,72.25,72.30,72.90,2,16.91,35100,23400,30-Mar-2021
FUTSTK,BATAINDIA,29-Apr-2021,0,XX,1425,1439,1407.30,1415.60,1415.60,1077,8415.03,1281500,73150,30-Mar-2021
